epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3940.28,0.5881,0.49283,0.00951,0.90617,0.83977,0.90226,0.78142,0.55861,0.60709,0.01337,0.000270316,0.000270316,0.000270316
43,4030,0.58091,0.48546,0.00934,0.87941,0.86846,0.91023,0.78384,0.56528,0.59475,0.01377,0.000265811,0.000265811,0.000265811
44,4121.99,0.58042,0.4786,0.00945,0.90072,0.83877,0.91049,0.78523,0.57394,0.58234,0.01393,0.000261307,0.000261307,0.000261307
45,4215.98,0.56712,0.46235,0.00907,0.91556,0.82149,0.90995,0.79235,0.56229,0.57355,0.01337,0.000256802,0.000256802,0.000256802
46,4309.12,0.56629,0.451,0.00914,0.89511,0.80975,0.89084,0.76579,0.58115,0.6616,0.01414,0.000252298,0.000252298,0.000252298
47,4400.35,0.56546,0.47696,0.00921,0.90702,0.83051,0.89887,0.77533,0.58051,0.62371,0.01413,0.000247793,0.000247793,0.000247793
48,4493.28,0.55462,0.45393,0.00928,0.87194,0.86717,0.90353,0.79046,0.55723,0.58461,0.01336,0.000243289,0.000243289,0.000243289
49,4587.25,0.56617,0.44512,0.00912,0.91125,0.84593,0.89814,0.78343,0.54454,0.60782,0.01294,0.000238784,0.000238784,0.000238784
50,4681.28,0.54475,0.42483,0.00892,0.92279,0.83849,0.90261,0.78713,0.55552,0.55728,0.01324,0.00023428,0.00023428,0.00023428
51,4773.33,0.55172,0.43532,0.00887,0.90915,0.83398,0.90261,0.78624,0.55487,0.58876,0.01345,0.000229775,0.000229775,0.000229775
52,4867.98,0.5433,0.42957,0.00872,0.90667,0.84902,0.90473,0.78864,0.54369,0.59453,0.01301,0.00022527,0.00022527,0.00022527
53,4962.26,0.53606,0.41673,0.00863,0.90298,0.84631,0.89766,0.79018,0.53898,0.61371,0.0128,0.000220766,0.000220766,0.000220766
54,5052.98,0.53746,0.41734,0.00871,0.91204,0.84998,0.90609,0.78795,0.56008,0.59096,0.01331,0.000216261,0.000216261,0.000216261
55,5147.25,0.52309,0.39957,0.00861,0.92602,0.8395,0.90099,0.78963,0.54014,0.60659,0.01289,0.000211757,0.000211757,0.000211757
56,5239.09,0.52315,0.4017,0.00849,0.91567,0.84711,0.91151,0.79661,0.5477,0.55878,0.0131,0.000207252,0.000207252,0.000207252
57,5332.29,0.5318,0.39922,0.00856,0.91962,0.84866,0.90842,0.79936,0.52627,0.58148,0.01238,0.000202748,0.000202748,0.000202748
58,5422.87,0.50943,0.38114,0.00819,0.9195,0.8283,0.89636,0.78834,0.54513,0.5972,0.01309,0.000198244,0.000198244,0.000198244
59,5514.65,0.51853,0.38682,0.00837,0.93477,0.84366,0.91349,0.80077,0.53541,0.55108,0.0129,0.000193739,0.000193739,0.000193739
60,5607.6,0.51369,0.38582,0.00829,0.92118,0.86307,0.91599,0.79998,0.54069,0.56924,0.01288,0.000189235,0.000189235,0.000189235
61,5697.65,0.51758,0.38366,0.00806,0.92322,0.85036,0.90571,0.7933,0.52823,0.61406,0.01275,0.00018473,0.00018473,0.00018473
62,5791.91,0.50142,0.37557,0.00803,0.92309,0.84399,0.9043,0.79398,0.53004,0.60032,0.01258,0.000180226,0.000180226,0.000180226
63,5891.94,0.50139,0.36992,0.00787,0.90709,0.86822,0.91178,0.7979,0.51608,0.5477,0.01223,0.000175721,0.000175721,0.000175721
64,5988.57,0.48799,0.35617,0.00787,0.90747,0.85721,0.91307,0.8023,0.51132,0.58032,0.0122,0.000171217,0.000171217,0.000171217
65,6084.36,0.49011,0.35991,0.00772,0.94006,0.83513,0.90868,0.80336,0.50975,0.57442,0.01213,0.000166712,0.000166712,0.000166712
66,6176.74,0.4779,0.3578,0.00774,0.91562,0.86205,0.91491,0.80529,0.52113,0.56576,0.01241,0.000162207,0.000162207,0.000162207
67,6269.58,0.48873,0.35174,0.00782,0.89758,0.86368,0.89888,0.79283,0.52689,0.58442,0.01247,0.000157703,0.000157703,0.000157703
68,6365.24,0.47529,0.35104,0.00758,0.92534,0.841,0.91148,0.80128,0.52671,0.56223,0.01257,0.000153198,0.000153198,0.000153198
69,6456.58,0.47871,0.3413,0.00746,0.93368,0.84867,0.90267,0.79345,0.53034,0.57766,0.01253,0.000148694,0.000148694,0.000148694
70,6548.36,0.47158,0.33714,0.00743,0.92384,0.86233,0.91003,0.80325,0.519,0.53895,0.01238,0.00014419,0.00014419,0.00014419
71,6642.07,0.47144,0.3368,0.00742,0.93018,0.84996,0.9169,0.80576,0.52887,0.52197,0.01257,0.000139685,0.000139685,0.000139685
72,6733.94,0.46319,0.33882,0.00749,0.9149,0.86669,0.91381,0.80591,0.51505,0.52518,0.01217,0.000135181,0.000135181,0.000135181
73,6823.72,0.46309,0.32162,0.00726,0.92532,0.85289,0.9141,0.80383,0.5205,0.54647,0.01235,0.000130676,0.000130676,0.000130676
74,6914.18,0.46719,0.33767,0.00731,0.93871,0.85148,0.91294,0.80168,0.52415,0.55191,0.01236,0.000126172,0.000126172,0.000126172
75,7003.88,0.45835,0.32353,0.00728,0.90905,0.86444,0.9079,0.80429,0.51643,0.56938,0.01215,0.000121667,0.000121667,0.000121667
76,7093.25,0.46107,0.3325,0.00732,0.92326,0.8674,0.91237,0.80905,0.50325,0.52835,0.0118,0.000117163,0.000117163,0.000117163
